Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0201_0603Metric",239.970000,-31.685000,-90.000000,top
"J1","Barrel_Jack_Switch_Pin3Ring","BarrelJack_Horizontal",250.730000,-33.970000,-90.000000,top
"J2","7_series_sensor","7_series_sensor",59.100000,-63.731000,0.000000,top
"J3","HIF3BA-50PA-2.54DS71","CONN50_2.54DS71_HIR",115.000000,-26.000000,0.000000,top
"J4","7_series_sensor","7_series_sensor",59.107000,-114.260500,0.000000,top
"J5","7_series_sensor","7_series_sensor",59.107000,-164.750500,0.000000,top
"J6","7_series_sensor","7_series_sensor",84.097000,-88.730500,0.000000,top
"J7","7_series_sensor","7_series_sensor",84.097000,-139.230500,0.000000,top
"J8","7_series_sensor","7_series_sensor",109.597000,-63.730500,0.000000,top
"J9","7_series_sensor","7_series_sensor",109.597000,-114.230500,0.000000,top
"J10","7_series_sensor","7_series_sensor",109.587000,-164.730500,0.000000,top
"J11","7_series_sensor","7_series_sensor",134.597000,-88.730500,0.000000,top
"J12","7_series_sensor","7_series_sensor",134.597000,-139.230500,0.000000,top
"J13","7_series_sensor","7_series_sensor",160.097000,-63.730500,0.000000,top
"J14","7_series_sensor","7_series_sensor",160.097000,-114.230500,0.000000,top
"J15","7_series_sensor","7_series_sensor",160.087000,-164.730500,0.000000,top
"J16","7_series_sensor","7_series_sensor",185.097000,-88.730500,0.000000,top
"J17","7_series_sensor","7_series_sensor",185.097000,-139.230500,0.000000,top
"J18","7_series_sensor","7_series_sensor",210.597000,-63.730500,0.000000,top
"J19","7_series_sensor","7_series_sensor",210.597000,-114.230500,0.000000,top
"J20","7_series_sensor","7_series_sensor",210.587000,-164.730500,0.000000,top
"J21","7_series_sensor","7_series_sensor",235.597000,-88.730500,0.000000,top
"J22","7_series_sensor","7_series_sensor",235.597000,-139.230500,0.000000,top
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",30.000000,-30.000000,0.000000,top
"R_LED1","1K","R_0402_1005Metric",239.970000,-28.760000,90.000000,top
