"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2,J4,J5,J15,J18,J10,J8,J12,J9,J6,J16,J19,J17,J11,J7,J13,J22,J21,J14,J20";"7_series_sensor";20;"7_series_sensor";;;
2;"D1";"LED_0201_0603Metric";1;"LED";;;
3;"J3";"CONN50_2.54DS71_HIR";1;"HIF3BA-50PA-2.54DS71";;;
4;"J1";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch_Pin3Ring";;;
5;"R_LED1";"R_0402_1005Metric";1;"1K";;;
6;"REF**";"Fiducial_0.75mm_Mask1.5mm";1;"Fiducial_0.75mm_Mask1.5mm";;;
7;"TP4_17,TP4_10,TP4_3,TP4_9,TP4_7,TP4_12,TP4_5,TP4_4,TP4_18,TP4_20,TP4_14,TP4_15,TP4_1,TP4_8,TP4_19,TP4_2,TP4_13,TP4_6,TP4_11,TP4_16";"TestPoint_Pad_04";20;"TP_AUX";;;
8;"R10_5,R11_4,R11_14,R9_14,R8_15,R9_15,R10_17,R8_7,R10_8,R9_4,R10_7,R7_15,R9_10,R12_5,R12_14,R12_18,R7_16,R8_14,R11_16,R12_4,R12_6,R10_14,R7_20,R11_12,R10_4,R9_7,R9_12,R8_10,R7_6,R8_6,R9_2,R8_11,R7_4,R7_11,R12_8,R12_12,R11_11,R9_6,R7_14,R10_2,R11_8,R9_5,R11_5,R9_8,R11_1,R12_7,R8_4,R7_2,R8_13,R8_2,R7_1,R8_20,R12_16,R11_9,R10_13,R7_19,R10_11,R9_3,R9_17,R10_19,R7_3,R11_3,R12_9,R9_20,R8_8,R8_17,R11_15,R12_20,R9_16,R9_13,R8_16,R12_11,R12_10,R7_8,R7_18,R7_5,R12_2,R8_19,R9_18,R11_17,R10_20,R8_12,R9_19,R10_18,R12_3,R9_9,R12_15,R9_11,R11_2,R10_6,R7_9,R10_12,R8_18,R12_19,R11_10,R11_6,R7_12,R12_13,R8_5,R7_10,R11_20,R8_1,R10_1,R11_13,R11_19,R10_10,R8_3,R10_16,R10_15,R12_1,R7_17,R8_9,R10_9,R9_1,R12_17,R11_18,R11_7,R7_13,R10_3,R7_7";"R_0402_1005Metric";120;"10K";;;
9;"TP5_8,TP5_16,TP5_12,TP5_3,TP5_1,TP5_11,TP5_6,TP5_9,TP5_13,TP5_14,TP5_15,TP5_10,TP5_19,TP5_17,TP5_20,TP5_4,TP5_2,TP5_5,TP5_18,TP5_7";"TestPoint_Pad_04";20;"TP_F1";;;
10;"R15_7,R15_3,R16_14,R16_19,R16_5,R15_17,R15_12,R16_17,R16_20,R15_8,R16_18,R16_15,R15_20,R15_2,R16_9,R16_1,R15_18,R16_13,R16_6,R16_8,R15_5,R15_16,R16_11,R16_16,R15_10,R16_4,R15_6,R15_4,R16_12,R16_7,R16_3,R15_15,R15_11,R16_10,R16_2,R15_14,R15_9,R15_1,R15_19,R15_13";"R_0402_1005Metric";40;"100K";;;
11;"TP3_18,TP3_11,TP3_14,TP3_5,TP3_8,TP3_16,TP3_9,TP3_20,TP3_19,TP3_15,TP3_4,TP3_3,TP3_10,TP3_1,TP3_2,TP3_17,TP3_13,TP3_12,TP3_7,TP3_6";"TestPoint_Pad_04";20;"TP_SEN";;;
