"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"P17,P13,P12,P14,P7,P16,P15,P8,P19,P5,P10,P3,P11,P18,P1,P2,P6,P9,P20,P4";"7_series_sensor";20;"7_series_sensor";;;
2;"J1";"BarrelJack_GCT_DCJ200-10-A_Horizontal";1;"PJ-002A";;;
3;"";"Fiducial_0.5mm_Mask1mm";1;"";;;
4;"R_LED1";"RES_CRCW_0805";1;"CRCW08053K30FKEA";;;
5;"LED1";"LED_CSL1901_1P6X0P8_ROM";1;"CSL1901VW1";;;
6;"J2";"CONN50_HIF3BB-50PA_HIR";1;"HIF3BBF-50PA-2.54DSA63";;;
7;"R13_8,R14_18,R14_6,R14_8,R13_17,R13_3,R13_4,R13_6,R13_13,R13_11,R13_1,R13_15,R14_14,R14_13,R13_12,R14_17,R14_7,R14_19,R13_18,R13_14,R14_20,R13_16,R13_10,R14_5,R13_9,R13_20,R13_19,R14_10,R14_11,R14_3,R14_4,R14_16,R14_1,R13_7,R14_2,R13_2,R14_9,R14_15,R14_12,R13_5";"RC0805N_VIS";40;"CRCW0805150KFKEA";;;
8;"U1";"DBV0005A_L";1;"LP5907MFX-4.5/NOPB";;;
9;"U9_14,U10_11,U8_4,U10_3,U6_16,U8_9,U9_12,U6_13,U7_11,U10_2,U7_19,U8_16,U8_14,U9_11,U7_8,U8_11,U7_9,U10_16,U7_18,U6_9,U5_11,U9_5,U5_14,U10_8,U8_2,U9_10,U8_5,U7_14,U8_10,U9_15,U7_10,U10_1,U10_4,U5_1,U7_17,U7_13,U10_6,U6_4,U6_2,U10_13,U5_19,U5_17,U5_6,U6_7,U7_4,U6_18,U10_9,U6_19,U9_4,U5_8,U9_9,U7_6,U8_12,U10_10,U6_8,U6_14,U9_3,U6_6,U8_1,U5_15,U5_10,U5_5,U9_13,U10_7,U5_13,U7_5,U7_12,U10_18,U9_2,U9_19,U5_7,U5_18,U8_15,U5_20,U5_12,U5_3,U6_15,U8_18,U5_2,U10_5,U5_9,U8_20,U9_8,U7_20,U9_20,U6_3,U9_1,U9_17,U6_20,U7_7,U8_8,U7_16,U9_18,U10_12,U7_15,U8_3,U6_1,U10_17,U10_19,U6_17,U7_1,U5_16,U6_11,U6_10,U9_16,U8_13,U9_6,U10_15,U8_7,U8_17,U10_20,U8_6,U5_4,U6_12,U7_3,U6_5,U7_2,U10_14,U8_19,U9_7";"GCAP_NFL21SP106X1C3D_MUR";120;"NFL21SP106X1C3D";;;
10;"TP1_19,TP1_6,TP1_17,TP1_13,TP1_1,TP1_9,TP1_16,TP1_5,TP1_10,TP1_2,TP1_20,TP1_15,TP1_12,TP1_14,TP1_4,TP1_18,TP1_7,TP1_3,TP1_8,TP1_11";"TestPoint_Pad_04";20;"TP_CNT";;;
11;"R11_10,R9_19,R10_20,R10_18,R9_14,R12_5,R12_14,R12_16,R12_18,R9_16,R12_17,R10_13,R12_12,R10_7,R8_19,R12_19,R7_3,R10_16,R12_2,R8_6,R7_16,R12_10,R9_1,R11_3,R8_14,R9_3,R11_2,R8_17,R9_4,R11_11,R10_3,R9_5,R9_11,R10_17,R12_13,R10_5,R9_6,R9_8,R11_15,R7_4,R12_15,R10_19,R10_4,R10_1,R12_1,R7_17,R9_10,R7_5,R8_1,R7_19,R11_7,R11_18,R7_7,R10_2,R10_12,R7_1,R7_9,R7_20,R7_13,R9_2,R8_4,R7_15,R11_14,R8_10,R11_13,R8_8,R9_15,R12_11,R10_14,R7_6,R9_12,R9_18,R10_8,R7_2,R11_12,R11_1,R8_2,R8_12,R8_3,R10_10,R9_13,R12_8,R11_8,R12_20,R11_20,R9_20,R8_7,R10_15,R7_11,R7_18,R12_6,R12_3,R11_16,R10_6,R11_19,R8_9,R11_9,R11_5,R7_12,R11_17,R8_11,R8_16,R12_4,R8_13,R8_15,R9_7,R7_14,R11_4,R12_7,R12_9,R8_20,R9_17,R10_11,R9_9,R7_10,R10_9,R11_6,R7_8,R8_5,R8_18";"RES_CRCW_0805_VIS";120;"CRCW080510K0FKEAC";;;
