Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C0805C105K5RACTU","CAPC220145_140N_KEM",234.920000,-28.180000,-90.000000,bottom
"C2","C0805C105K5RACTU","CAPC220145_140N_KEM",226.040000,-28.272800,-90.000000,bottom
"C4_1","C0805C104K5RACTU","CAPC220145_88N_KEM",69.480000,-66.082799,90.000000,bottom
"C4_2","C0805C104K5RACTU","CAPC220145_88N_KEM",69.480000,-116.582799,90.000000,bottom
"C4_3","C0805C104K5RACTU","CAPC220145_88N_KEM",69.480000,-167.082799,90.000000,bottom
"C4_4","C0805C104K5RACTU","CAPC220145_88N_KEM",94.434695,-91.090451,90.000000,bottom
"C4_5","C0805C104K5RACTU","CAPC220145_88N_KEM",94.434695,-141.590451,90.000000,bottom
"C4_6","C0805C104K5RACTU","CAPC220145_88N_KEM",119.980000,-66.082799,90.000000,bottom
"C4_7","C0805C104K5RACTU","CAPC220145_88N_KEM",119.980000,-116.582799,90.000000,bottom
"C4_8","C0805C104K5RACTU","CAPC220145_88N_KEM",119.980000,-167.082799,90.000000,bottom
"C4_9","C0805C104K5RACTU","CAPC220145_88N_KEM",144.949695,-91.157799,90.000000,bottom
"C4_10","C0805C104K5RACTU","CAPC220145_88N_KEM",144.949695,-141.657799,90.000000,bottom
"C4_11","C0805C104K5RACTU","CAPC220145_88N_KEM",170.480000,-66.082799,90.000000,bottom
"C4_12","C0805C104K5RACTU","CAPC220145_88N_KEM",170.480000,-116.582799,90.000000,bottom
"C4_13","C0805C104K5RACTU","CAPC220145_88N_KEM",170.480000,-167.082799,90.000000,bottom
"C4_14","C0805C104K5RACTU","CAPC220145_88N_KEM",195.434695,-91.090451,90.000000,bottom
"C4_15","C0805C104K5RACTU","CAPC220145_88N_KEM",195.434695,-141.590451,90.000000,bottom
"C4_16","C0805C104K5RACTU","CAPC220145_88N_KEM",220.980000,-66.082799,90.000000,bottom
"C4_17","C0805C104K5RACTU","CAPC220145_88N_KEM",220.980000,-116.582799,90.000000,bottom
"C4_18","C0805C104K5RACTU","CAPC220145_88N_KEM",220.980000,-167.082799,90.000000,bottom
"C4_19","C0805C104K5RACTU","CAPC220145_88N_KEM",245.949695,-91.157799,90.000000,bottom
"C4_20","C0805C104K5RACTU","CAPC220145_88N_KEM",245.949695,-141.657799,90.000000,bottom
"C5_1","C0805C104K5RACTU","CAPC220145_88N_KEM",40.912799,-53.670000,180.000000,bottom
"C5_2","C0805C104K5RACTU","CAPC220145_88N_KEM",40.912799,-104.170000,180.000000,bottom
"C5_3","C0805C104K5RACTU","CAPC220145_88N_KEM",40.912799,-154.670000,180.000000,bottom
"C5_4","C0805C104K5RACTU","CAPC220145_88N_KEM",65.867494,-78.677652,180.000000,bottom
"C5_5","C0805C104K5RACTU","CAPC220145_88N_KEM",65.867494,-129.177652,180.000000,bottom
"C5_6","C0805C104K5RACTU","CAPC220145_88N_KEM",91.412799,-53.670000,180.000000,bottom
"C5_7","C0805C104K5RACTU","CAPC220145_88N_KEM",91.412799,-104.170000,180.000000,bottom
"C5_8","C0805C104K5RACTU","CAPC220145_88N_KEM",91.412799,-154.670000,180.000000,bottom
"C5_9","C0805C104K5RACTU","CAPC220145_88N_KEM",116.382494,-78.745000,180.000000,bottom
"C5_10","C0805C104K5RACTU","CAPC220145_88N_KEM",116.382494,-129.245000,180.000000,bottom
"C5_11","C0805C104K5RACTU","CAPC220145_88N_KEM",141.912799,-53.670000,180.000000,bottom
"C5_12","C0805C104K5RACTU","CAPC220145_88N_KEM",141.912799,-104.170000,180.000000,bottom
"C5_13","C0805C104K5RACTU","CAPC220145_88N_KEM",141.912799,-154.670000,180.000000,bottom
"C5_14","C0805C104K5RACTU","CAPC220145_88N_KEM",166.867494,-78.677652,180.000000,bottom
"C5_15","C0805C104K5RACTU","CAPC220145_88N_KEM",166.867494,-129.177652,180.000000,bottom
"C5_16","C0805C104K5RACTU","CAPC220145_88N_KEM",192.412799,-53.670000,180.000000,bottom
"C5_17","C0805C104K5RACTU","CAPC220145_88N_KEM",192.412799,-104.170000,180.000000,bottom
"C5_18","C0805C104K5RACTU","CAPC220145_88N_KEM",192.412799,-154.670000,180.000000,bottom
"C5_19","C0805C104K5RACTU","CAPC220145_88N_KEM",217.382494,-78.745000,180.000000,bottom
"C5_20","C0805C104K5RACTU","CAPC220145_88N_KEM",217.382494,-129.245000,180.000000,bottom
"C6_1","C0805C104K5RACTU","CAPC220145_88N_KEM",49.437201,-74.230000,0.000000,bottom
"C6_2","C0805C104K5RACTU","CAPC220145_88N_KEM",49.437201,-124.730000,0.000000,bottom
"C6_3","C0805C104K5RACTU","CAPC220145_88N_KEM",49.437201,-175.230000,0.000000,bottom
"C6_4","C0805C104K5RACTU","CAPC220145_88N_KEM",74.391896,-99.237652,0.000000,bottom
"C6_5","C0805C104K5RACTU","CAPC220145_88N_KEM",74.391896,-149.737652,0.000000,bottom
"C6_6","C0805C104K5RACTU","CAPC220145_88N_KEM",99.937201,-74.230000,0.000000,bottom
"C6_7","C0805C104K5RACTU","CAPC220145_88N_KEM",99.937201,-124.730000,0.000000,bottom
"C6_8","C0805C104K5RACTU","CAPC220145_88N_KEM",99.937201,-175.230000,0.000000,bottom
"C6_9","C0805C104K5RACTU","CAPC220145_88N_KEM",124.906896,-99.305000,0.000000,bottom
"C6_10","C0805C104K5RACTU","CAPC220145_88N_KEM",124.906896,-149.805000,0.000000,bottom
"C6_11","C0805C104K5RACTU","CAPC220145_88N_KEM",150.437201,-74.230000,0.000000,bottom
"C6_12","C0805C104K5RACTU","CAPC220145_88N_KEM",150.437201,-124.730000,0.000000,bottom
"C6_13","C0805C104K5RACTU","CAPC220145_88N_KEM",150.437201,-175.230000,0.000000,bottom
"C6_14","C0805C104K5RACTU","CAPC220145_88N_KEM",175.391896,-99.237652,0.000000,bottom
"C6_15","C0805C104K5RACTU","CAPC220145_88N_KEM",175.391896,-149.737652,0.000000,bottom
"C6_16","C0805C104K5RACTU","CAPC220145_88N_KEM",200.937201,-74.230000,0.000000,bottom
"C6_17","C0805C104K5RACTU","CAPC220145_88N_KEM",200.937201,-124.730000,0.000000,bottom
"C6_18","C0805C104K5RACTU","CAPC220145_88N_KEM",200.937201,-175.230000,0.000000,bottom
"C6_19","C0805C104K5RACTU","CAPC220145_88N_KEM",225.906896,-99.305000,0.000000,bottom
"C6_20","C0805C104K5RACTU","CAPC220145_88N_KEM",225.906896,-149.805000,0.000000,bottom
"C7_1","C0805C104K5RACTU","CAPC220145_88N_KEM",36.717201,-61.110000,0.000000,bottom
"C7_2","C0805C104K5RACTU","CAPC220145_88N_KEM",36.717201,-111.610000,0.000000,bottom
"C7_3","C0805C104K5RACTU","CAPC220145_88N_KEM",36.717201,-162.110000,0.000000,bottom
"C7_4","C0805C104K5RACTU","CAPC220145_88N_KEM",61.671896,-86.117652,0.000000,bottom
"C7_5","C0805C104K5RACTU","CAPC220145_88N_KEM",61.671896,-136.617652,0.000000,bottom
"C7_6","C0805C104K5RACTU","CAPC220145_88N_KEM",87.217201,-61.110000,0.000000,bottom
"C7_7","C0805C104K5RACTU","CAPC220145_88N_KEM",87.217201,-111.610000,0.000000,bottom
"C7_8","C0805C104K5RACTU","CAPC220145_88N_KEM",87.217201,-162.110000,0.000000,bottom
"C7_9","C0805C104K5RACTU","CAPC220145_88N_KEM",112.186896,-86.185000,0.000000,bottom
"C7_10","C0805C104K5RACTU","CAPC220145_88N_KEM",112.186896,-136.685000,0.000000,bottom
"C7_11","C0805C104K5RACTU","CAPC220145_88N_KEM",137.717201,-61.110000,0.000000,bottom
"C7_12","C0805C104K5RACTU","CAPC220145_88N_KEM",137.717201,-111.610000,0.000000,bottom
"C7_13","C0805C104K5RACTU","CAPC220145_88N_KEM",137.717201,-162.110000,0.000000,bottom
