Ref,Val,Package,PosX,PosY,Rot,Side
"","","Fiducial_0.5mm_Mask1mm",35.000000,-35.000000,0.000000,top
"J1","PJ-002A","BarrelJack_GCT_DCJ200-10-A_Horizontal",250.800000,-34.210000,180.000000,top
"J2","HIF3BBF-50PA-2.54DSA63","CONN50_HIF3BB-50PA_HIR",175.960000,-28.540000,180.000000,top
"LED1","CSL1901VW1","LED_CSL1901_1P6X0P8_ROM",240.110000,-25.235500,90.000000,top
"P1","7_series_sensor","7_series_sensor",59.097000,-63.730500,0.000000,top
"P2","7_series_sensor","7_series_sensor",59.097000,-114.230500,0.000000,top
"P3","7_series_sensor","7_series_sensor",59.097000,-164.730500,0.000000,top
"P4","7_series_sensor","7_series_sensor",84.097000,-88.730500,0.000000,top
"P5","7_series_sensor","7_series_sensor",84.097000,-139.230500,0.000000,top
"P6","7_series_sensor","7_series_sensor",109.597000,-63.730500,0.000000,top
"P7","7_series_sensor","7_series_sensor",109.597000,-114.230500,0.000000,top
"P8","7_series_sensor","7_series_sensor",109.597000,-164.730500,0.000000,top
"P9","7_series_sensor","7_series_sensor",134.597000,-88.730500,0.000000,top
"P10","7_series_sensor","7_series_sensor",134.597000,-139.230500,0.000000,top
"P11","7_series_sensor","7_series_sensor",160.097000,-63.730500,0.000000,top
"P12","7_series_sensor","7_series_sensor",160.097000,-114.230500,0.000000,top
"P13","7_series_sensor","7_series_sensor",160.097000,-164.730500,0.000000,top
"P14","7_series_sensor","7_series_sensor",185.097000,-88.730500,0.000000,top
"P15","7_series_sensor","7_series_sensor",185.097000,-139.230500,0.000000,top
"P16","7_series_sensor","7_series_sensor",210.597000,-63.730500,0.000000,top
"P17","7_series_sensor","7_series_sensor",210.597000,-114.230500,0.000000,top
"P18","7_series_sensor","7_series_sensor",210.597000,-164.730500,0.000000,top
"P19","7_series_sensor","7_series_sensor",235.597000,-88.730500,0.000000,top
"P20","7_series_sensor","7_series_sensor",235.597000,-139.230500,0.000000,top
"R_LED1","CRCW08053K30FKEA","RES_CRCW_0805",240.140000,-30.912500,-90.000000,top
